,REG,EDULEV,CLETAS,C59AB,C59,C73,SG11,COND3,COND10,COEFF
2036,11, ,3,   ,   ,   ,1,3,9,6536
2037,11, ,2,   ,   ,   ,1,3,9,6536
2053,12,5,10,002,002,006,1,1,1,10951
2054,12,5,10,004,002,000,2,1,1,10951
2055,12, ,4,   ,   ,   ,2,3,9,10951
2056,12, ,3,   ,   ,   ,1,3,9,10951
2068,9,5,12,011,002,005,2,1,1,15717
2081,9,6,9,002,002,008,1,1,1,14737
2082,9,6,9,   ,   ,   ,2,3,8,14737
2083,9, ,2,   ,   ,   ,2,3,9,14737
2084,9, ,1,   ,   ,   ,1,3,9,14737
2094,11,3,12,007,002,008,1,1,1,8334
2095,11,5,11,002,002,008,2,1,1,8334
2096,11,5,5,   ,   ,   ,2,3,8,8334
2097,11,3,5,   ,   ,   ,1,3,8,8334
2115,10,5,9,010,   ,010,1,1,1,3532
2116,10,6,9,005,002,010,2,1,1,3532
2117,10, ,1,   ,   ,   ,1,3,9,3532
2118,9,5,8,011,002,007,1,1,1,20002
2119,9,6,9,005,002,010,2,1,1,20002
2120,9, ,1,   ,   ,   ,1,3,9,20002
2131,11,3,14,   ,   ,   ,1,3,8,1897
2132,11,5,12,002,002,010,2,1,1,1897
2133,11,5,7,   ,   ,   ,2,2,3,1897
2139,10,1,17,   ,   ,   ,2,3,10,2834
2149,9,4,13,003,002,010,1,1,1,5191
2150,9,2,17,   ,   ,   ,2,3,10,8122
2151,9,3,16,004,   ,007,1,1,1,10363
2152,9,2,14,   ,   ,   ,2,3,8,10363
2160,9,5,12,002,002,009,1,1,1,15924
2161,9,5,12,002,002,009,2,1,1,15924
2162,9, ,4,   ,   ,   ,1,3,9,15924
2163,9,3,5,   ,   ,   ,2,3,8,15924
2169,9,3,8,002,002,009,1,1,1,4822
2170,9,3,9,004,002,009,2,1,1,4822
2171,9, ,4,   ,   ,   ,1,3,9,4822
2172,9, ,3,   ,   ,   ,1,3,9,4822
2179,11,6,11,010,   ,007,1,1,1,4697
2180,11,6,11,005,002,008,2,1,1,4697
2181,11,3,5,   ,   ,   ,2,3,8,4697
2182,11, ,3,   ,   ,   ,2,3,9,4697
2185,12,6,12,005,002,010,2,1,1,27719
2186,12,5,7,   ,   ,   ,1,3,8,27719
2187,12,5,5,   ,   ,   ,2,3,8,27719
2202,9,5,13,004,   ,009,2,1,1,16861
2203,9,3,14,010,   ,008,1,1,1,16861
2204,9,5,17,   ,   ,   ,2,3,10,16861
