,REG,EDULEV,CLETAS,C59AB,C59,C73,SG11,COND3,COND10,COEFF
66455,12,6,8,007,002,006,2,1,1,29518
66462,10,6,10,005,002,008,2,1,1,3157
66463,10,6,12,010,   ,997,1,1,1,3157
66464,10, ,3,   ,   ,   ,1,3,9,3157
66476,10,3,15,   ,   ,   ,1,3,10,1775
66477,10,3,14,002,002,008,2,1,1,1775
66478,10,1,17,   ,   ,   ,2,3,10,1775
66479,11,5,9,004,002,009,2,1,1,5349
66495,9,2,17,   ,   ,   ,2,3,10,11246
66496,9,5,12,011,002,008,1,1,1,11246
66501,12,2,17,   ,   ,   ,2,3,10,19403
66508,10,2,17,   ,   ,   ,1,3,10,2397
66528,12,3,10,   ,   ,   ,2,2,2,17909
66547,11,2,17,   ,   ,   ,2,3,10,2489
66549,9,3,17,   ,   ,   ,1,3,10,7796
66550,9,2,16,   ,   ,   ,2,3,10,7796
66551,9,3,11,005,002,006,2,1,1,7796
66552,11,3,13,010,   ,006,1,1,1,4422
66553,11,3,13,010,   ,006,2,1,1,4422
66554,11,1,17,   ,   ,   ,2,3,10,4422
66555,11,1,17,   ,   ,   ,1,3,10,4422
66556,11,5,7,004,002,007,1,1,1,4422
66560,11,5,9,011,   ,006,1,1,1,9575
66587,11,5,12,   ,   ,   ,1,3,5,4442
66588,11,3,10,   ,   ,   ,2,2,4,4442
66620,9,6,11,003,002,007,2,1,1,24405
66621,9,3,5,   ,   ,   ,2,3,8,24405
66622,9, ,3,   ,   ,   ,2,3,9,24405
66645,11,3,12,002,002,006,1,1,1,8590
66646,11,3,12,002,002,007,2,1,1,8590
66647,11,3,5,   ,   ,   ,2,3,8,8590
66652,11,5,9,004,002,008,1,1,1,3103
66654,10,3,12,004,002,008,1,1,1,2948
66655,10,5,12,011,002,008,2,1,1,2948
66656,10,5,6,   ,   ,   ,1,2,2,2948
66660,12,6,11,002,002,008,2,1,1,25592
66661,12,6,11,005,002,007,1,1,1,25592
66662,12, ,4,   ,   ,   ,2,3,9,25592
66663,12, ,4,   ,   ,   ,2,3,9,25592
66671,12,2,17,   ,   ,   ,1,3,10,24104
66693,11,5,14,   ,   ,   ,1,3,8,4197
66694,11,6,13,   ,   ,   ,2,2,2,4197
66695,11,5,6,   ,   ,   ,1,3,8,4197
66725,12,2,17,   ,   ,   ,1,3,10,4290
66726,12,2,17,   ,   ,   ,2,3,10,4290
66734,11,3,12,   ,001,008,2,1,1,2114
66743,10,5,10,009,002,007,2,1,1,2467
66744,9,2,17,   ,   ,   ,2,3,10,3556
66745,9,3,13,004,   ,007,1,1,1,3556
66746,9,3,13,010,   ,006,2,1,1,3556
66747,9,5,6,002,002,008,2,1,1,3556
66764,11,3,13,002,002,007,1,1,1,6513
66765,11,3,10,002,002,007,2,1,1,6513
66766,11,5,5,008,002,008,1,1,1,6513
66767,11,2,17,   ,   ,   ,1,3,10,6513
66769,11,3,7,   ,   ,   ,1,3,5,1851
66773,12,6,13,003,002,005,2,1,1,29831
66774,12,6,6,   ,   ,   ,1,3,8,29831
66792,10,3,16,   ,   ,   ,1,3,10,2063
66793,10,3,14,011,002,007,2,1,1,2063
66803,11,2,17,   ,   ,   ,2,3,10,1820
66804,11,5,12,   ,   ,   ,2,2,3,1820
66805,11,3,13,002,002,008,1,1,1,1820
66810,9,5,7,001,002,007,2,1,1,13907
66811,9,3,8,001,002,007,1,1,1,13907
66821,12,2,16,   ,   ,   ,2,3,10,7029
66822,12,3,11,   ,   ,   ,1,3,5,7029
66863,10,1,17,   ,   ,   ,2,3,10,2031
66864,10,5,15,   ,   ,   ,2,3,10,2031
66881,12,3,13,011,002,009,1,1,1,17965
66882,12,3,13,   ,   ,   ,2,3,8,17965
66883,12,3,7,002,002,006,1,1,1,17965
66891,9,2,16,   ,   ,   ,1,3,10,7158
66892,9,5,17,   ,   ,   ,2,3,10,7158
66898,10,2,17,   ,   ,   ,1,3,10,2500
66899,10,2,16,   ,   ,   ,2,3,10,2500
66958,9,2,16,   ,   ,   ,1,3,10,11697
66959,9,3,13,004,002,007,1,1,1,11697
66960,9,3,12,002,002,007,1,1,1,11697
66979,11,1,17,   ,   ,   ,2,3,10,1914
66997,11,1,17,   ,   ,   ,1,3,10,1603
66998,11,1,17,   ,   ,   ,2,3,10,1603
66999,12,2,17,   ,   ,   ,2,3,10,4702
67031,10,3,17,   ,   ,   ,1,3,10,2409
67032,10,2,17,   ,   ,   ,2,3,10,2409
67068,11,2,17,   ,   ,   ,2,3,10,2551
67073,11,6,9,001,002,008,2,1,1,3870
67074,11,6,10,005,002,008,1,1,1,3870
67075,11, ,1,   ,   ,   ,1,3,9,3870
67076,11, ,1,   ,   ,   ,1,3,9,3870
67091,12,3,14,   ,   ,   ,2,3,8,3974
67092,12,3,9,004,002,006,1,1,1,3974
67093,12,1,17,   ,   ,   ,2,3,10,3974
67094,9,3,15,   ,   ,   ,1,3,10,5983
67095,9,3,14,   ,   ,   ,2,3,8,5983
67096,9,3,10,004,002,007,1,1,1,5983
67106,11,3,12,004,002,006,2,1,1,1980
67113,9,5,13,003,002,010,1,1,1,5523
67124,12,3,17,   ,   ,   ,1,3,10,6242
67125,12,2,16,   ,   ,   ,2,3,10,6242
67137,10,3,12,004,002,004,1,1,1,3320
67141,9,6,15,   ,   ,   ,1,3,10,11409
67142,9,6,15,010,   ,007,2,1,1,11409
67156,11,2,17,   ,   ,   ,1,3,10,2737
67157,11,2,14,   ,   ,   ,2,3,7,2737
67161,9,3,16,   ,   ,   ,1,3,10,17504
67162,9,5,8,   ,   ,   ,2,3,8,17504
67163,12,5,10,006,002,008,1,1,1,15488
67164,12,6,11,005,002,009,2,1,1,15488
67172,11,5,9,007,002,007,1,1,1,6854
67173,11,6,9,   ,   ,   ,2,3,8,6854
67174,11, ,3,   ,   ,   ,1,3,9,6854
67175,11, ,3,   ,   ,   ,2,3,9,6854
67179,10,5,8,007,002,007,1,1,1,4194
67203,11,2,17,   ,   ,   ,1,3,10,2397
67204,11,2,17,   ,   ,   ,2,3,10,2397
67208,10,6,8,011,002,008,2,1,1,4448
67248,11,3,15,   ,   ,   ,1,3,10,9752
67249,11,3,13,   ,   ,   ,2,3,8,9752
67250,11,5,7,011,002,007,1,1,1,9752
67255,12,2,17,   ,   ,   ,2,3,10,14700
67269,10,4,12,010,   ,008,1,1,1,3010
67270,10,3,12,011,002,006,2,1,1,3010
67271,10,5,6,009,002,007,2,1,1,3010
67272,10,5,6,004,002,008,2,1,1,3010
67294,10,5,9,002,002,008,1,1,1,2621
67295,10,3,9,003,002,007,2,1,1,2621
67296,10,3,6,   ,   ,   ,2,3,8,2621
67297,10, ,4,   ,   ,   ,2,3,9,2621
67335,12,3,16,   ,   ,   ,2,3,10,5580
67336,12,3,17,   ,   ,   ,1,3,10,5580
67356,10,5,11,011,002,007,1,1,1,3415
67357,10,5,9,002,002,008,2,1,1,3415
67358,10, ,4,   ,   ,   ,2,3,9,3415
67359,10, ,3,   ,   ,   ,1,3,9,3415
67374,10,3,10,009,002,010,1,1,1,2849
67375,10,4,9,   ,   ,   ,2,3,8,2849
67376,10, ,2,   ,   ,   ,1,3,9,2849
67377,10, ,1,   ,   ,   ,1,3,9,2849
67378,11,5,12,002,002,006,1,1,1,3742
67379,11,5,12,002,002,007,2,1,1,3742
67380,11,3,5,   ,   ,   ,2,3,8,3742
67394,12,4,12,011,002,010,1,1,1,21579
67395,12,3,12,   ,   ,   ,2,3,8,21579
67396,12,5,6,   ,   ,   ,1,3,7,21579
67434,12,5,10,010,   ,006,2,1,1,14074
67435,12,6,12,006,002,008,1,1,1,14074
67436,12, ,4,   ,   ,   ,2,3,9,14074
67437,12, ,3,   ,   ,   ,1,3,9,14074
67443,11,3,12,   ,001,010,1,1,1,2321
67444,11,3,13,011,002,010,2,1,1,2321
67451,9,5,17,   ,   ,   ,2,3,10,19892
67479,12,5,13,011,002,008,1,1,1,7932
67487,12,3,12,   ,   ,   ,2,3,6,10641
67516,12,2,9,   ,   ,   ,2,3,8,18425
67517,12, ,4,   ,   ,   ,2,3,9,18425
67518,12, ,1,   ,   ,   ,1,3,9,18425
67519,12,3,13,996,002,007,2,1,1,11821
67521,12,3,12,011,002,007,1,1,1,9207
67522,12,3,12,   ,   ,   ,2,3,8,9207
67523,12,3,5,   ,   ,   ,2,3,8,9207
67528,11,4,15,   ,   ,   ,1,3,10,1718
67529,11,5,15,   ,   ,   ,2,3,10,1718
67547,12,3,12,004,002,007,1,1,1,31097
67548,12,4,13,011,002,007,2,1,1,31097
67556,12,3,14,   ,   ,   ,1,3,8,22255
67557,12,3,14,   ,   ,   ,2,3,8,22255
67583,9,3,16,   ,   ,   ,2,3,10,9037
67584,9,3,16,   ,   ,   ,1,3,10,9037
67585,9,3,9,   ,   ,   ,1,3,5,9037
67610,10,2,12,   ,   ,   ,1,2,2,3191
67611,10,5,12,002,002,007,2,1,1,3191
67614,9,2,17,   ,   ,   ,1,3,10,6379
67615,9,2,17,   ,   ,   ,2,3,10,6379
67616,10,2,17,   ,   ,   ,2,3,10,3245
67622,9,2,17,   ,   ,   ,2,3,10,10470
67648,11,5,17,   ,   ,   ,1,3,10,2934
67649,11,2,17,   ,   ,   ,2,3,10,2934
67650,11,3,11,   ,   ,   ,2,2,2,2934
67651,11, ,3,   ,   ,   ,1,3,9,2934
67672,9,2,17,   ,   ,   ,1,3,10,7204
67673,9,2,17,   ,   ,   ,2,3,10,7204
67674,9,3,11,002,002,008,1,1,1,7204
67700,10,5,14,   ,   ,   ,2,3,8,2790
67709,9,6,14,009,   ,005,1,1,1,16898
67716,11,5,10,005,002,007,2,1,1,3593
67717,11,5,11,005,002,002,1,1,1,3593
67718,11,5,6,002,002,005,2,1,1,3593
67726,11,5,17,   ,   ,   ,1,3,10,2662
67735,12,5,14,004,   ,003,1,1,1,4414
67736,12,6,15,006,002,008,2,1,1,4414
67737,11,1,17,   ,   ,   ,2,3,10,2621
67758,9,1,11,011,002,008,2,1,1,24463
67759,9,5,12,011,002,010,1,1,1,24463
67760,9,3,5,   ,   ,   ,2,3,8,24463
67761,9, ,4,   ,   ,   ,2,3,9,24463
67774,12,3,11,004,   ,007,1,1,1,10161
67777,11,6,12,005,002,009,1,1,1,4058
67778,11,6,12,005,002,009,2,1,1,4058
67779,11,6,6,   ,   ,   ,1,3,8,4058
67780,11,3,5,   ,   ,   ,1,3,8,4058
67786,11,3,15,   ,   ,   ,1,3,10,2119
67789,12,5,12,003,002,007,1,1,1,9102
67796,12,2,12,005,002,008,1,1,1,23329
67797,12,3,11,005,002,008,2,1,1,23329
67798,12,5,7,003,002,009,1,1,1,23329
67799,12,5,6,004,002,009,1,1,1,23329
67808,9,2,13,   ,   ,   ,1,3,8,4685
67809,9,2,12,002,002,008,2,1,1,4685
67813,10,5,17,   ,   ,   ,1,3,10,2536
67814,10,2,15,   ,   ,   ,2,3,10,2536
67829,11,2,17,   ,   ,   ,1,3,10,2221
67830,11,1,17,   ,   ,   ,2,3,10,2221
67831,11,2,13,   ,   ,   ,1,3,5,2221
67892,11,2,15,   ,   ,   ,1,3,10,1806
67893,11,3,15,   ,   ,   ,2,3,10,1806
67894,11,3,10,011,002,006,1,1,1,1806
67902,11,3,15,   ,   ,   ,2,3,10,2590
67911,9,5,13,003,002,009,2,1,1,10728
67912,9,6,7,011,002,008,1,1,1,10728
67940,10,5,15,   ,   ,   ,1,3,10,2752
67941,10,5,14,005,002,006,2,1,1,2752
67942,9,5,14,005,002,006,1,1,1,6864
67943,9,3,5,   ,   ,   ,1,3,8,6864
67944,9,5,6,   ,   ,   ,2,3,8,6864
67950,11,3,17,   ,   ,   ,1,3,10,1971
67951,11,3,17,   ,   ,   ,2,3,10,1971
68012,10,6,9,   ,   ,   ,1,3,7,3994
68013,10,6,8,009,002,007,2,1,1,3994
68014,10, ,1,   ,   ,   ,1,3,9,3994
68077,9,5,8,010,   ,008,1,1,1,8199
68092,9,3,11,004,002,009,1,1,1,10314
68093,9,3,10,003,002,008,2,1,1,10314
68094,9, ,3,   ,   ,   ,1,3,9,10314
68095,9, ,2,   ,   ,   ,1,3,9,10314
68104,11,5,12,010,   ,008,1,1,1,2561
68105,11,3,11,004,002,007,2,1,1,2561
68106,11, ,4,   ,   ,   ,1,3,9,2561
68126,11,6,8,005,002,008,2,1,1,4179
68127,11,3,17,   ,   ,   ,2,3,10,4179
68129,11,5,12,   ,   ,   ,2,3,8,2379
68130,11,6,15,   ,   ,   ,1,3,10,2379
68135,11,2,14,   ,   ,   ,1,3,8,2853
68152,11,2,10,010,   ,007,1,1,1,3602
68157,9,5,14,002,002,006,1,1,1,12358
68164,12,3,6,004,002,007,2,1,1,13954
68181,9,6,9,001,002,010,1,1,1,10620
68182,9,6,9,001,002,003,2,1,1,10620
68189,10,2,17,   ,   ,   ,2,3,10,2334
68196,12,6,14,005,002,008,1,1,1,12612
68197,12,6,14,005,002,008,2,1,1,12612
68198,12,6,8,003,002,007,1,1,1,12612
68199,12,6,7,   ,   ,   ,2,3,8,12612
68228,11,3,12,   ,   ,   ,1,3,7,3258
68230,12,3,12,004,002,007,2,1,1,5314
68231,12,3,5,   ,   ,   ,1,3,8,5314
68232,12,2,17,   ,   ,   ,1,3,10,13895
68233,12,1,17,   ,   ,   ,2,3,10,13895
68239,12,3,12,001,002,010,2,1,1,11369
68240,12,5,7,   ,   ,   ,2,3,5,11369
68241,12,3,6,   ,   ,   ,1,2,4,11369
68242,9,2,17,   ,   ,   ,2,3,10,9930
68256,12,6,10,005,002,009,2,1,1,24095
68257,12, ,3,   ,   ,   ,1,3,9,24095
68258,12, ,3,   ,   ,   ,2,3,9,24095
68261,10,2,16,   ,   ,   ,1,3,10,1584
68262,10,4,14,   ,   ,   ,2,3,8,1584
68263,10,6,11,010,   ,007,2,1,1,1584
68267,10,3,17,   ,   ,   ,2,3,10,2972
68268,10,6,15,   ,   ,   ,1,3,10,2972
68304,9,5,11,011,002,006,1,1,1,14697
68305,9,6,10,005,002,009,2,1,1,14697
68306,9, ,4,   ,   ,   ,1,3,9,14697
68307,9, ,3,   ,   ,   ,2,3,9,14697
68312,9,2,17,   ,   ,   ,2,3,10,15369
68317,10,2,17,   ,   ,   ,2,3,10,2322
68320,11,5,14,010,   ,007,1,1,1,2107
68321,11,5,13,002,002,007,2,1,1,2107
68352,12,3,13,004,   ,008,1,1,1,11432
68353,12,3,12,   ,   ,   ,2,3,5,11432
68354,12,3,7,   ,   ,   ,1,2,2,11432
68355,12,5,6,005,002,008,2,1,1,11432
68386,11,3,8,005,002,007,2,1,1,3133
68387,11, ,4,   ,   ,   ,1,3,9,3133
68432,10,5,15,   ,   ,   ,1,3,10,1372
68433,10,4,14,   ,   ,   ,2,3,8,1372
68434,9,6,10,   ,   ,   ,2,3,8,7605
68435,9, ,1,   ,   ,   ,1,3,9,7605
68460,10,3,16,   ,   ,   ,1,3,10,2559
68461,10,3,8,   ,   ,   ,1,3,5,2559
68513,9,5,15,   ,   ,   ,2,3,10,10382
68514,9,5,15,   ,   ,   ,1,3,10,10382
68519,10,5,12,002,002,006,1,1,1,3222
68520,10,5,11,011,002,005,2,1,1,3222
68521,10,5,5,   ,   ,   ,1,3,8,3222
68522,10,3,5,   ,   ,   ,2,3,8,3222
68529,9,5,10,011,002,008,1,1,1,13084
68530,9,4,10,003,002,008,1,1,1,51759
68531,9,6,10,002,002,006,2,1,1,51759
68532,9,5,5,   ,   ,   ,1,3,8,51759
68533,9,3,5,   ,   ,   ,1,3,8,51759
68565,11,1,17,   ,   ,   ,2,3,10,1926
68566,11,3,12,011,002,007,2,1,1,1926
68567,11,3,13,011,002,006,1,1,1,1926
68568,11,4,8,011,002,006,1,1,1,1926
68569,11,3,5,   ,   ,   ,1,3,8,1926
68617,9,5,9,005,002,008,2,1,1,6130
68630,12,2,15,   ,   ,   ,1,3,10,6725
68631,12,2,15,   ,   ,   ,2,3,10,6725
68646,9,3,15,   ,   ,   ,1,3,10,12099
68647,9,2,15,   ,   ,   ,2,3,10,12099
68697,11,5,13,002,002,008,1,1,1,1939
68698,11,5,12,002,002,007,2,1,1,1939
68699,11,5,6,   ,   ,   ,1,3,8,1939
68700,11,3,5,   ,   ,   ,1,3,8,1939
68703,11,2,17,   ,   ,   ,2,3,10,4803
68711,12,2,17,   ,   ,   ,2,3,10,21597
68712,9,1,10,011,   ,008,2,1,1,9082
68713,9,1,10,004,002,008,1,1,1,9082
68714,9,3,5,   ,   ,   ,2,3,8,9082
68715,9, ,4,   ,   ,   ,1,3,9,9082
68726,11,3,11,   ,   ,   ,2,3,7,4802
68727,11,4,5,   ,   ,   ,2,3,7,4802
68745,11,2,17,   ,   ,   ,1,3,10,1549
68746,11,2,17,   ,   ,   ,2,3,10,1549
68747,12,3,16,   ,   ,   ,1,3,10,24216
68748,12,3,15,   ,   ,   ,2,3,10,24216
68749,12,5,10,004,   ,010,1,1,1,24216
68761,12,5,13,005,002,008,1,1,1,12176
68762,12,3,13,   ,   ,   ,2,3,8,12176
68763,12,6,6,   ,   ,   ,1,3,8,12176
68764,12,5,6,   ,   ,   ,1,3,8,12176
68775,12,6,8,005,002,008,1,1,1,39066
68788,11,2,17,   ,   ,   ,1,3,10,3944
68801,10,3,16,   ,   ,   ,2,3,10,2522
68802,10,5,17,   ,   ,   ,1,3,10,2522
68821,9,4,16,   ,   ,   ,1,3,10,7166
68822,9,5,15,001,002,006,2,1,1,7166
68824,9,6,12,003,002,009,1,1,1,5650
68825,9,6,12,003,002,009,2,1,1,5650
68842,11,6,13,010,   ,008,1,1,1,10793
68849,12,3,13,002,002,007,1,1,1,24582
68850,12,3,12,002,002,007,2,1,1,24582
68851,11,3,11,   ,   ,   ,2,2,2,1922
68852,11,3,5,   ,   ,   ,1,3,8,1922
68853,11, ,4,   ,   ,   ,2,3,9,1922
68878,9,1,17,   ,   ,   ,1,3,10,11422
68887,11,3,9,010,   ,010,1,1,1,4463
68888,11,3,9,011,002,006,2,1,1,4463
68889,11, ,4,   ,   ,   ,2,3,9,4463
68890,11, ,3,   ,   ,   ,2,3,9,4463
68891,10,3,10,003,002,004,1,1,1,1660
68892,10,5,7,   ,   ,   ,2,3,5,1660
68893,10, ,3,   ,   ,   ,2,3,9,1660
68894,10, ,2,   ,   ,   ,1,3,9,1660
68956,9,1,17,   ,   ,   ,2,3,10,7521
68960,11,3,13,002,002,007,1,1,1,2090
68961,11,3,12,   ,001,007,2,1,1,2090
68962,11,5,7,   ,   ,   ,2,2,3,2090
68963,11,4,6,   ,   ,   ,2,2,2,2090
68979,10,1,17,   ,   ,   ,2,3,10,4115
68980,10,3,13,   ,   ,   ,1,3,8,4115
68981,10,3,13,002,002,010,1,1,1,4115
68982,10,3,12,   ,   ,   ,2,3,8,4115
68983,10,5,7,   ,   ,   ,1,3,8,4115
68984,10,6,6,   ,   ,   ,1,2,4,4115
68995,10,2,16,011,   ,007,1,1,1,2501
68996,10,2,15,   ,   ,   ,2,3,10,2501
69011,10,3,17,   ,   ,   ,1,3,10,2514
69012,10,3,16,   ,   ,   ,2,3,10,2514
69013,12,5,14,010,   ,004,1,1,1,6374
69014,12,5,13,   ,   ,   ,2,3,8,6374
69026,10,4,16,   ,   ,   ,1,3,10,2193
69027,10,5,15,   ,   ,   ,2,3,10,2193
69047,9,3,9,010,   ,010,1,1,1,16969
69048,9,3,8,   ,   ,   ,2,3,8,16969
69049,9, ,3,   ,   ,   ,1,3,9,16969
69050,9, ,1,   ,   ,   ,1,3,9,16969
69076,12,3,17,   ,   ,   ,1,3,10,6594
69077,12,2,16,   ,   ,   ,2,3,10,6594
69079,11,6,15,   ,   ,   ,2,3,10,3078
69080,11,3,10,011,002,006,1,1,1,3078
69081,11,2,17,   ,   ,   ,2,3,10,3078
69089,9,2,17,   ,   ,   ,1,3,10,5120
69090,9,5,12,010,   ,008,1,1,1,5120
69105,11,4,12,   ,   ,   ,2,3,7,2420
69115,9,2,17,   ,   ,   ,1,3,10,7298
69116,9,2,16,   ,   ,   ,2,3,10,7298
69168,12,3,17,   ,   ,   ,1,3,10,16292
69173,12,3,17,   ,   ,   ,2,3,10,5738
69174,12,5,11,   ,   ,   ,1,2,2,5738
69181,10,3,13,002,002,007,1,1,1,3712
69182,10,4,13,002,002,007,2,1,1,3712
69183,10,5,7,002,002,007,1,1,1,3712
69195,9,6,16,   ,   ,   ,2,3,10,7913
69201,12,2,17,   ,   ,   ,1,3,10,6363
69202,12,1,17,   ,   ,   ,2,3,10,6363
69225,11,4,15,   ,   ,   ,1,3,10,3163
69226,11,2,16,   ,   ,   ,2,3,10,3163
69227,11,5,8,007,002,007,1,1,1,3163
69237,11,5,9,002,002,008,2,1,1,4092
69238,9,5,16,   ,   ,   ,1,3,10,8920
69239,9,5,16,   ,   ,   ,2,3,10,8920
69247,9,2,13,005,002,007,2,1,1,11833
69248,9,3,6,004,002,008,1,1,1,11833
69261,9,2,17,   ,   ,   ,2,3,10,9080
69262,11,5,8,011,002,008,1,1,1,5091
69263,11,5,9,   ,   ,   ,2,3,8,5091
69264,11, ,2,   ,   ,   ,1,3,9,5091
69334,12,5,6,   ,   ,   ,1,3,8,36377
69339,12,6,11,011,002,007,1,1,1,16016
69340,12, ,4,   ,   ,   ,1,3,9,16016
69399,11,3,9,004,002,007,1,1,1,4076
69400,11,5,12,005,002,010,2,1,1,2541
69401,11,5,5,   ,   ,   ,1,3,8,2541
69402,11,3,5,   ,   ,   ,1,3,8,2541
69403,11,3,6,011,002,005,1,1,1,1798
69404,11,2,17,   ,   ,   ,1,3,10,2687
69408,10,3,13,005,002,008,1,1,1,4193
69409,10,3,13,   ,   ,   ,2,3,5,4193
69410,10,5,7,001,002,006,1,1,1,4193
69411,10,5,6,001,002,007,2,1,1,4193
69412,10,5,6,   ,   ,   ,2,2,3,4193
69424,9,3,13,009,   ,010,1,1,1,11636
69431,10,5,12,003,002,008,1,1,1,4991
69432,10,3,12,   ,   ,   ,2,3,8,4991
69433,10,5,6,   ,   ,   ,2,3,8,4991
69437,12,3,15,   ,   ,   ,1,3,10,20831
69438,12,2,15,   ,   ,   ,2,3,10,20831
69483,11,4,11,002,002,007,1,1,1,5514
69484,11,5,10,   ,   ,   ,2,2,2,5514
69485,11, ,4,   ,   ,   ,2,3,9,5514
69486,11, ,4,   ,   ,   ,1,3,9,5514
69495,12,3,14,   ,   ,   ,1,3,8,16827
69496,12,5,13,005,002,009,2,1,1,16827
69497,12,3,5,   ,   ,   ,2,3,8,16827
69501,12,3,13,005,002,006,1,1,1,15226
69502,12,3,13,005,002,010,2,1,1,15226
69503,12,5,8,002,   ,008,1,1,1,15226
69504,12,5,6,   ,   ,   ,1,3,5,15226
69535,12,2,17,   ,   ,   ,2,3,10,2767
69551,9,6,12,002,002,007,1,1,1,9877
69563,12,3,10,010,   ,006,1,1,1,18384
69564,12,3,10,011,002,008,2,1,1,18384
69565,12,3,5,   ,   ,   ,1,3,8,18384
69566,12, ,4,   ,   ,   ,1,3,9,18384
69567,10,2,16,   ,   ,   ,1,3,10,2029
69568,10,2,14,   ,   ,   ,2,3,8,2029
69577,10,2,14,   ,   ,   ,2,3,6,2819
69592,10,6,12,002,002,010,2,1,1,2610
69597,11,5,14,   ,   ,   ,2,3,8,5712
69604,11,1,17,   ,   ,   ,1,3,10,1990
69605,11,2,17,   ,   ,   ,2,3,10,1990
69608,12,3,13,011,002,007,1,1,1,19793
69609,12,3,12,011,002,009,2,1,1,19793
69611,9,5,9,010,   ,008,1,1,1,12639
69612,9,5,8,010,   ,008,2,1,1,12639
69613,9, ,3,   ,   ,   ,1,3,9,12639
69614,9, ,1,   ,   ,   ,2,3,9,12639
69615,11,5,14,011,002,007,2,1,1,4770
69616,11,6,7,002,002,006,2,1,1,4770
69622,12,2,13,   ,   ,   ,1,3,8,8426
69623,12,3,12,   ,   ,   ,2,3,8,8426
69644,9,2,17,   ,   ,   ,1,3,10,6912
69645,9,2,17,   ,   ,   ,2,3,10,6912
69653,12,5,8,   ,   ,   ,2,2,2,4294
69654,12, ,3,   ,   ,   ,2,3,9,4294
69658,11,5,12,   ,   ,   ,1,3,8,4422
69659,11,2,16,   ,   ,   ,2,3,10,4422
69660,11,3,11,   ,   ,   ,1,3,8,4422
69675,10,2,17,   ,   ,   ,2,3,10,2004
69676,10,5,11,003,002,009,1,1,1,2004
69677,10,4,11,010,   ,008,2,1,1,2004
69678,10, ,4,   ,   ,   ,1,3,9,2004
69679,10, ,3,   ,   ,   ,1,3,9,2004
69703,10,5,11,011,   ,010,1,1,1,6033
69708,9,5,11,004,   ,000,2,1,1,9823
69709,9,3,11,004,   ,008,1,1,1,9823
69710,9, ,4,   ,   ,   ,1,3,9,9823
69738,10,5,17,   ,   ,   ,1,3,10,2224
69739,10,2,16,   ,   ,   ,2,3,10,2224
69751,12,5,10,005,002,006,1,1,1,14234
69752,11,3,12,004,   ,007,1,1,1,3443
69753,11,3,12,   ,   ,   ,2,3,8,3443
69754,11,5,6,004,002,010,1,1,1,3443
69755,9,3,13,002,002,008,1,1,1,7259
69756,9,3,12,004,002,008,2,1,1,7259
69757,9,3,7,003,002,008,1,1,1,7259
69758,9,5,6,   ,   ,   ,2,3,8,7259
69766,10,3,12,010,   ,009,1,1,1,4180
69767,10,5,13,007,002,009,2,1,1,4180
69768,10,4,6,004,002,010,1,1,1,4180
69769,10,5,6,001,002,008,2,1,1,4180
69770,11,6,12,   ,   ,   ,2,2,4,1775
69771,11,5,6,   ,   ,   ,2,3,7,1775
69772,11,3,5,   ,   ,   ,1,3,8,1775
69773,12,3,13,010,   ,002,2,1,1,21068
69774,12,5,7,001,002,008,2,1,1,21068
69775,12,5,6,   ,   ,   ,1,2,3,21068
69778,10,5,16,   ,   ,   ,1,3,10,2195
69779,10,4,14,002,002,007,2,1,1,2195
69795,11,6,15,   ,   ,   ,2,3,10,2399
69796,12,3,11,004,   ,010,1,1,1,9372
69797,12,6,10,   ,   ,   ,2,3,5,9372
69798,12, ,3,   ,   ,   ,1,3,9,9372
69823,9,5,11,010,   ,008,1,1,1,12750
69824,9,3,10,   ,   ,   ,2,3,8,12750
69825,9, ,3,   ,   ,   ,2,3,9,12750
69826,9,3,6,   ,   ,   ,2,3,7,12750
69829,11,6,17,   ,   ,   ,2,3,10,4525
69837,10,1,17,   ,   ,   ,2,3,10,2236
69858,9,5,12,010,   ,007,1,1,1,8360
69859,9,5,11,005,002,007,2,1,1,8360
69860,9, ,4,   ,   ,   ,1,3,9,8360
69861,10,2,16,   ,   ,   ,1,3,10,2942
69862,10,3,15,   ,   ,   ,2,3,10,2942
69872,11,3,10,003,002,008,1,1,1,2936
69873,11,5,7,   ,   ,   ,2,3,8,2936
69874,11,5,8,002,002,008,1,1,1,2936
69875,11,5,6,   ,   ,   ,2,3,8,2936
69876,11, ,3,   ,   ,   ,1,3,9,2936
69877,11, ,1,   ,   ,   ,1,3,9,2936
69878,11, ,1,   ,   ,   ,1,3,9,2936
69896,12,6,15,   ,   ,   ,1,3,10,19805
69897,12,6,15,   ,   ,   ,2,3,10,19805
69914,10,5,14,   ,   ,   ,1,3,8,2655
69915,10,4,15,   ,   ,   ,2,3,10,2655
69943,9,5,17,   ,   ,   ,2,3,10,8499
69945,11,2,17,   ,   ,   ,2,3,10,2968
69958,12,6,12,010,   ,008,1,1,1,28342
69959,12,5,17,   ,   ,   ,1,3,10,28342
69960,12,5,17,   ,   ,   ,2,3,10,28342
69965,10,3,10,004,   ,005,1,1,1,2059
69966,10,2,10,   ,   ,   ,2,2,4,2059
69967,10,5,6,002,002,007,1,1,1,2059
69968,10,3,5,   ,   ,   ,1,3,8,2059
69969,10, ,4,   ,   ,   ,2,3,9,2059
69970,10, ,3,   ,   ,   ,2,3,9,2059
