,REGMCR,EDULEV,CLETAS,QC67,QC62,QSF11,COND3,COND10,COEFF
26206,11,3,14,005,005,2,1,1,2976
26207,11,1,17,   ,   ,2,3,10,7178
26208,11,5,11,007,011,1,1,1,7178
26209,11,5,13,008,005,1,1,1,3126
26210,11,3,12,   ,   ,2,3,8,3126
26211,11,5,6,008,004,1,1,1,3126
26212,11,5,7,007,002,2,1,1,3126
26213,11,2,17,   ,   ,1,3,10,3717
26214,11,3,16,   ,   ,1,3,10,3649
26215,11,5,15,   ,   ,2,3,10,3649
26216,11,3,14,   ,   ,1,3,8,5387
26217,11,2,13,   ,   ,2,3,8,5387
26218,11,5,9,007,002,2,1,1,5387
26219,11,3,7,008,005,1,1,1,5387
26220,11,5,6,   ,   ,1,2,3,5387
26221,11,2,14,004,004,1,1,1,5972
26222,11,3,13,004,011,2,1,1,5972
26223,11,5,7,   ,   ,2,3,8,5972
26224,11,2,16,   ,   ,2,3,10,3515
26225,11,5,9,008,002,1,1,1,5074
26226,11,5,9,007,002,2,1,1,5074
26227,11,5,16,   ,   ,1,3,10,1967
26228,11,5,15,007,004,2,1,1,1967
26229,11,5,9,009,002,1,1,1,2818
26230,11,6,9,   ,   ,2,2,4,2818
26231,11, ,4,   ,   ,1,3,9,2818
26232,11, ,3,   ,   ,2,3,9,2818
26233,11, ,2,   ,   ,1,3,9,2818
26234,11,5,14,   ,   ,2,3,8,2818
26235,11,5,9,008,005,2,1,1,4261
26236,11,3,13,008,005,1,1,1,4621
26237,11,6,13,009,006,2,1,1,4621
26238,11,6,13,009,005,2,1,1,4965
26239,11,3,17,   ,   ,1,3,10,5036
26240,11,5,13,006,006,1,1,1,11495
26241,11,3,15,   ,   ,2,3,10,8061
26242,11,5,11,007,002,1,1,1,8061
26243,11,5,10,010,003,1,1,1,8061
26244,11,3,12,997,005,1,1,1,5942
26245,11,3,12,   ,   ,2,3,7,5942
26246,11,3,6,   ,   ,1,3,7,5942
26247,11,5,11,   ,   ,2,3,8,4133
26248,11, ,3,   ,   ,1,3,9,4133
26249,11,3,17,   ,   ,2,3,10,3906
26250,11,5,15,   ,   ,1,3,10,3120
26251,11,5,14,007,006,2,1,1,3120
26252,11,5,8,006,005,1,1,1,3120
26253,11,6,13,009,006,1,1,1,7900
26254,11,5,12,006,006,2,1,1,7900
26255,11,5,7,007,002,1,1,1,7900
26256,11,5,5,   ,   ,2,3,8,7900
26257,11, ,17,   ,   ,2,3,10,5604
26258,11,3,16,   ,   ,1,3,10,9168
26259,11,3,15,   ,   ,2,3,10,9168
26260,11,2,17,   ,   ,1,3,10,9037
26261,11,2,17,   ,   ,2,3,10,9037
26262,11,3,11,   ,   ,1,2,4,9037
26263,11,3,11,008,005,1,1,1,9037
26264,11,5,11,007,005,1,1,1,6791
26265,11,6,10,   ,   ,2,2,2,6791
26266,11,3,5,   ,   ,1,3,8,6791
26267,11, ,4,   ,   ,2,3,9,6791
26268,11,6,9,008,011,1,1,1,6889
26269,11,6,9,008,002,2,1,1,6889
26270,11,3,16,   ,   ,2,3,10,5982
26271,11,6,12,009,009,2,1,1,7538
26272,11,5,6,   ,   ,2,3,8,7538
26273,11,5,6,   ,   ,1,3,7,7538
26274,11,3,13,009,005,1,1,1,5279
26275,11,6,12,010,006,2,1,1,5279
26276,11, ,4,   ,   ,2,3,9,5279
26277,11,2,17,   ,   ,2,3,10,7545
26278,11,5,13,001,011,1,1,1,7545
26279,11,5,13,   ,   ,2,3,8,2821
26280,11,6,14,   ,   ,2,3,8,2821
26281,11,6,13,007,002,2,1,1,2884
26282,11,5,7,997,002,1,1,1,2884
26283,11,5,13,009,005,1,1,1,12461
26284,11,3,11,010,006,1,1,1,3003
26285,11,5,11,008,002,2,1,1,3003
26286,11,3,5,   ,   ,1,3,8,3003
26287,11, ,4,   ,   ,2,3,9,3003
26288,11,3,14,   ,   ,2,3,8,4261
26289,11,4,14,   ,   ,1,3,8,6386
26290,11,5,14,010,006,2,1,1,6386
26291,11,5,16,   ,   ,2,3,10,3823
26292,11,3,17,   ,   ,1,3,10,3823
26293,11,5,17,   ,   ,1,3,10,2993
26294,11,2,17,   ,   ,2,3,10,2993
26295,11,3,13,   ,   ,2,3,8,5167
26296,11,5,11,008,005,2,1,1,3434
26297,11, ,4,   ,   ,1,3,9,3434
26298,11, ,4,   ,   ,1,3,9,3434
26299,11,2,14,   ,   ,2,3,8,6629
26300,11,5,10,   ,   ,1,2,2,6629
26301,11,6,9,009,005,2,1,1,7440
26302,11,6,8,009,011,1,1,1,7440
26303,11, ,1,   ,   ,2,3,9,7440
26304,11,2,16,   ,   ,2,3,10,8116
26305,11,6,16,   ,   ,1,3,10,6749
26306,11,5,12,008,006,1,1,1,3939
26307,11,5,12,006,002,2,1,1,3939
26308,11,5,9,008,005,2,1,1,3733
26309,11,5,10,   ,   ,2,3,8,7921
26310,11,5,10,009,006,1,1,1,7921
26311,11, ,3,   ,   ,2,3,9,7921
26312,11,5,13,008,006,2,1,1,9996
26313,11,5,6,   ,   ,1,3,8,9996
26314,11,5,6,   ,   ,2,3,8,9996
26315,11,6,13,006,006,1,1,1,9996
26316,11,3,12,007,002,2,1,1,2603
26317,11,5,15,007,002,1,1,1,2603
26318,11,3,5,   ,   ,1,3,8,2603
26319,11,1,12,008,002,1,1,1,4802
26320,11,1,5,   ,   ,1,3,8,4802
26321,11,4,16,   ,   ,1,3,10,7068
26322,11,2,16,   ,   ,2,3,10,7496
26323,11,3,17,   ,   ,1,3,10,3968
26324,11,2,16,   ,   ,2,3,10,3968
26325,11,3,16,   ,   ,1,3,10,9202
26326,11,2,16,   ,   ,2,3,10,9202
26327,11,3,14,   ,   ,1,3,8,3378
26328,11,3,13,008,006,2,1,1,3378
26329,11,6,7,008,002,1,1,1,3378
26330,11,4,15,   ,   ,1,3,10,5698
26331,11,2,14,   ,   ,2,3,8,5698
26332,11,5,8,002,002,1,1,1,5698
26333,11,5,15,   ,   ,1,3,10,4880
26334,11,5,13,008,996,2,1,1,4880
26335,11,3,14,007,010,2,1,1,3808
26336,11,6,9,007,004,2,1,1,3808
26337,11,6,9,008,011,1,1,1,6974
26338,11,5,17,   ,   ,1,3,10,2978
26339,11,2,17,   ,   ,2,3,10,2978
26340,11,5,11,007,006,1,1,1,8290
26341,11,6,9,008,006,2,1,1,6136
26342,11,5,13,008,004,1,1,1,9668
26343,11,5,13,   ,   ,2,3,8,9668
26344,11,5,6,   ,   ,1,3,8,9668
26345,11,3,5,   ,   ,2,3,8,9668
26346,11,5,17,   ,   ,2,3,10,4793
26347,11,5,15,   ,   ,1,3,10,2645
26348,11,3,14,   ,   ,2,3,8,2645
26349,11,5,8,007,002,2,1,1,8343
26350,11,5,9,008,008,1,1,1,6195
26351,11,5,9,002,002,2,1,1,6195
26352,11,5,9,008,005,2,1,1,5222
26353,11,5,9,007,001,1,1,1,5222
26354,11, ,4,   ,   ,1,3,9,5222
26355,11, ,3,   ,   ,2,3,9,5222
26356,11,5,11,008,005,1,1,1,4770
26357,11,5,10,008,005,2,1,1,4770
26358,11, ,4,   ,   ,1,3,9,4770
26359,11,5,10,008,002,1,1,1,2883
26360,11,5,11,008,005,2,1,1,2883
26361,11, ,3,   ,   ,2,3,9,2883
26362,11,3,10,008,002,1,1,1,4619
26363,11,3,10,   ,   ,2,2,3,4619
26364,11, ,4,   ,   ,2,3,9,4619
26365,11, ,3,   ,   ,1,3,9,4619
26366,11,6,15,008,002,2,1,1,4158
26367,11,3,15,   ,   ,2,3,10,5803
26368,11,5,17,   ,   ,1,3,10,4917
26369,11,3,17,   ,   ,2,3,10,4917
26370,11,6,12,007,006,1,1,1,11241
26371,11,5,13,006,008,1,1,1,11362
26372,11,5,12,   ,   ,2,3,7,11362
26373,11,6,7,008,002,1,1,1,11362
26374,11,5,6,   ,   ,2,3,8,11362
26375,11,3,5,   ,   ,1,3,8,11362
26376,11,2,16,   ,   ,1,3,10,7490
26377,11,2,16,   ,   ,2,3,10,7490
26378,11, ,17,   ,   ,2,3,10,5766
26379,11,3,14,008,004,1,1,1,4643
26380,11,3,14,008,004,2,1,1,4643
26381,11,4,15,   ,   ,1,3,10,9717
26382,11,3,15,   ,   ,2,3,10,9717
26383,11,3,9,997,002,1,1,1,9717
26384,11,5,15,   ,   ,1,3,10,2753
26385,11,5,14,008,010,2,1,1,2753
26386,11,5,10,000,011,1,1,1,5642
26387,11,6,10,009,002,2,1,1,5642
26388,11, ,3,   ,   ,1,3,9,5642
26389,11, ,2,   ,   ,2,3,9,5642
26390,11,5,8,010,004,1,1,1,18469
26391,11,5,7,   ,   ,2,2,3,18469
26392,11,6,10,008,006,1,1,1,5738
26393,11,6,9,008,006,2,1,1,5738
26394,11,2,9,   ,   ,2,3,8,10138
26395,11,3,9,005,008,1,1,1,10138
26396,11,3,5,   ,   ,2,3,8,10138
26397,11, ,2,   ,   ,2,3,9,10138
